Label,Gene_x,Taxon_x,Reference_x,Gene_y,Taxon_y,Reference_y,Ontology
NUFIP1,Nuclear fragile X mental retardation-interacting protein 1,NCBITaxon:9606,PMID:12941608,nuclear fragile X mental retardation protein interacting protein 1,NCBITaxon:10090,MGI:MGI:1350464|PMID:10556305,GO0022626
RPL34,60S ribosomal protein L34,NCBITaxon:9606,PMID:12962325,ribosomal protein L34,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS7,40S ribosomal protein S7,NCBITaxon:9606,PMID:15883184,ribosomal protein S7,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPLP0,60S acidic ribosomal protein P0,NCBITaxon:9606,PMID:12962325,"ribosomal protein, large, P0",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL10L,60S ribosomal protein L10-like,NCBITaxon:9606,PMID:12490704,ribosomal protein L10-like,NCBITaxon:10090,MGI:MGI:5494908|PMID:23500592,GO0022626
MCTS1,Malignant T-cell-amplified sequence 1,NCBITaxon:9606,PMID:20713520,malignant T cell amplified sequence 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS2,40S ribosomal protein S2,NCBITaxon:9606,PMID:15883184,ribosomal protein S2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS27,40S ribosomal protein S27,NCBITaxon:9606,PMID:15883184,ribosomal protein S27,NCBITaxon:10090,PMID:21873635,GO0022626
RPS25,40S ribosomal protein S25,NCBITaxon:9606,PMID:15883184,ribosomal protein S25,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL29,60S ribosomal protein L29,NCBITaxon:9606,PMID:12962325,ribosomal protein L29,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL31,60S ribosomal protein L31,NCBITaxon:9606,PMID:12962325,ribosomal protein L31,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL39,60S ribosomal protein L39,NCBITaxon:9606,PMID:12962325,ribosomal protein L39,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL30,60S ribosomal protein L30,NCBITaxon:9606,PMID:12962325,ribosomal protein L30,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS28,40S ribosomal protein S28,NCBITaxon:9606,PMID:15883184,ribosomal protein S28,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS26,40S ribosomal protein S26,NCBITaxon:9606,PMID:15883184,ribosomal protein S26,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS24,40S ribosomal protein S24,NCBITaxon:9606,PMID:15883184,ribosomal protein S24,NCBITaxon:10090,MGI:MGI:50472|PMID:1840675,GO0022626
RPS15,40S ribosomal protein S15,NCBITaxon:9606,PMID:15883184,ribosomal protein S15,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL23,60S ribosomal protein L23,NCBITaxon:9606,PMID:12962325,ribosomal protein L23,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
MRPS11,"28S ribosomal protein S11, mitochondrial",NCBITaxon:9606,PMID:21873635,mitochondrial ribosomal protein S11,NCBITaxon:10090,PMID:21873635,GO0022626
RPL7A,60S ribosomal protein L7a,NCBITaxon:9606,PMID:12962325,ribosomal protein L7A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPLP2,60S acidic ribosomal protein P2,NCBITaxon:9606,PMID:12962325,"ribosomal protein, large P2",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPLP1,60S acidic ribosomal protein P1,NCBITaxon:9606,PMID:12962325,"ribosomal protein, large, P1",NCBITaxon:10090,PMID:21873635,GO0022626
RPL14,60S ribosomal protein L14,NCBITaxon:9606,PMID:12962325,ribosomal protein L14,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL39L,60S ribosomal protein L39-like,NCBITaxon:9606,PMID:12490704,RIKEN cDNA 4930517K11,NCBITaxon:10090,PMID:21873635,GO0022626
RPS6,40S ribosomal protein S6,NCBITaxon:9606,PMID:1301164,ribosomal protein S6,NCBITaxon:10090,MGI:MGI:5494908|PMID:23500592,GO0022626
RPL23A,60S ribosomal protein L23a,NCBITaxon:9606,PMID:12962325,ribosomal protein L23A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS4X,"40S ribosomal protein S4, X isoform",NCBITaxon:9606,PMID:2124517,"ribosomal protein S4, X-linked",NCBITaxon:10090,PMID:21873635,GO0022626
RSL24D1,Probable ribosome biogenesis protein RLP24,NCBITaxon:9606,PMID:21873635,ribosomal L24 domain containing 1,NCBITaxon:10090,PMID:21873635,GO0022626
UBA52,Ubiquitin-60S ribosomal protein L40,NCBITaxon:9606,PMID:21873635,ubiquitin A-52 residue ribosomal protein fusion product 1,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL8,60S ribosomal protein L8,NCBITaxon:9606,PMID:12962325,ribosomal protein L8,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL32,60S ribosomal protein L32,NCBITaxon:9606,PMID:12962325,ribosomal protein L32,NCBITaxon:10090,MGI:MGI:79022|PMID:6993285,GO0022626
RPL10A,60S ribosomal protein L10a,NCBITaxon:9606,PMID:12962325,ribosomal protein L10A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL19,60S ribosomal protein L19,NCBITaxon:9606,PMID:12962325,ribosomal protein L19,NCBITaxon:10090,MGI:MGI:5494908|PMID:23500592,GO0022626
RPS11,40S ribosomal protein S11,NCBITaxon:9606,PMID:15883184,ribosomal protein S11,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS13,40S ribosomal protein S13,NCBITaxon:9606,PMID:15883184,ribosomal protein S13,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS18,40S ribosomal protein S18,NCBITaxon:9606,PMID:15883184,ribosomal protein S18,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS23,40S ribosomal protein S23,NCBITaxon:9606,PMID:15883184,ribosomal protein S23,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS14,40S ribosomal protein S14,NCBITaxon:9606,PMID:15883184,ribosomal protein S14,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS16,40S ribosomal protein S16,NCBITaxon:9606,PMID:15883184,ribosomal protein S16,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS15A,40S ribosomal protein S15a,NCBITaxon:9606,PMID:15883184,ribosomal protein S15A,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS8,40S ribosomal protein S8,NCBITaxon:9606,PMID:15883184,ribosomal protein S8,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RARS2,"Probable arginine--tRNA ligase, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-379726,"arginyl-tRNA synthetase 2, mitochondrial",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
RPUSD3,Mitochondrial mRNA pseudouridine synthase RPUSD3,NCBITaxon:9606,PMID:27667664,RNA pseudouridylate synthase domain containing 3,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
ERBB2,Receptor tyrosine-protein kinase erbB-2,NCBITaxon:9606,PMID:21555369,erb-b2 receptor tyrosine kinase 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
RPL18A,60S ribosomal protein L18a,NCBITaxon:9606,PMID:25957688,ribosomal protein L18A,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
GFM2,"Ribosome-releasing factor 2, mitochondrial",NCBITaxon:9606,PMID:19716793,"G elongation factor, mitochondrial 2",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
VARS2,"Valine--tRNA ligase, mitochondrial",NCBITaxon:9606,PMID:21873635,"valyl-tRNA synthetase 2, mitochondrial",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
ABTB1,Ankyrin repeat and BTB/POZ domain-containing protein 1,NCBITaxon:9606,GO_REF:0000043,ankyrin repeat and  BTB (POZ) domain containing 1,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,NCBITaxon:9606,PMID:16289705,"eukaryotic translation initiation factor 2, subunit 1 alpha",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
LSM14B,Protein LSM14 homolog B,NCBITaxon:9606,GO_REF:0000043,LSM family member 14B,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,NCBITaxon:9606,PMID:16289705,"eukaryotic translation initiation factor 2, subunit 2 (beta)",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
EIF4E1B,Eukaryotic translation initiation factor 4E type 1B,NCBITaxon:9606,GO_REF:0000043,eukaryotic translation initiation factor 4E family member 1B,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
MRPS5,"28S ribosomal protein S5, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein S5,NCBITaxon:10090,PMID:21873635,GO0006412
MRPS35,"28S ribosomal protein S35, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein S35,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
MRPS10,"28S ribosomal protein S10, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein S10,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
MRPS25,"28S ribosomal protein S25, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein S25,NCBITaxon:10090,MGI:MGI:1913170|PMID:11023686,GO0006412
ANG,Angiogenin,NCBITaxon:9606,GO_REF:0000043,"angiogenin, ribonuclease, RNase A family, 5",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
APP,Amyloid-beta precursor protein,NCBITaxon:9606,GO_REF:0000024,amyloid beta (A4) precursor protein,NCBITaxon:10090,MGI:MGI:3610697|PMID:16314516,GO0006412
PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,NCBITaxon:9606,GO_REF:0000024,protein phosphatase 1 catalytic subunit alpha,NCBITaxon:10090,MGI:MGI:73007|PMID:7736790,GO0006412
ZAR1L,ZAR1-like protein,NCBITaxon:9606,PMID:21873635,zygote arrest 1-like,NCBITaxon:10090,PMID:21873635,GO0006412
PTK2B,Protein-tyrosine kinase 2-beta,NCBITaxon:9606,GO_REF:0000107,PTK2 protein tyrosine kinase 2 beta,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0006412
RPL6,60S ribosomal protein L6,NCBITaxon:9606,PMID:25957688,ribosomal protein L6,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
DPH6,Diphthine--ammonia ligase,NCBITaxon:9606,GO_REF:0000041,diphthamine biosynthesis 6,NCBITaxon:10090,PMID:21873635,GO0006412
EFL1,Elongation factor-like GTPase 1,NCBITaxon:9606,GO_REF:0000043,elongation factor like GTPase 1,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal",NCBITaxon:9606,GO_REF:0000043,"eukaryotic translation initiation factor 1A, X-linked",NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
MRPL21,"39S ribosomal protein L21, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein L21,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
MKNK2,MAP kinase-interacting serine/threonine-protein kinase 2,NCBITaxon:9606,GO_REF:0000043,MAP kinase-interacting serine/threonine kinase 2,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
MRPS2,"28S ribosomal protein S2, mitochondrial",NCBITaxon:9606,PMID:11402041,mitochondrial ribosomal protein S2,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
TRIM71,E3 ubiquitin-protein ligase TRIM71,NCBITaxon:9606,PMID:23125361,tripartite motif-containing 71,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
MAPKAPK5,MAP kinase-activated protein kinase 5,NCBITaxon:9606,PMID:21329882,MAP kinase-activated protein kinase 5,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
TSC1,Hamartin,NCBITaxon:9606,PMID:17308101,TSC complex subunit 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",NCBITaxon:9606,GO_REF:0000024,"complement component 1, q subcomponent binding protein",NCBITaxon:10090,MGI:MGI:5487496|PMID:22904065,GO0006412
RPL18,60S ribosomal protein L18,NCBITaxon:9606,PMID:25957688,ribosomal protein L18,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
NANOS3,Nanos homolog 3,NCBITaxon:9606,GO_REF:0000024,nanos C2HC-type zinc finger 3,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
NANOS2,Nanos homolog 2,NCBITaxon:9606,PMID:24736845,nanos C2HC-type zinc finger 2,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF1AD,Probable RNA-binding protein EIF1AD,NCBITaxon:9606,GO_REF:0000002,eukaryotic translation initiation factor 1A domain containing,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
RMND1,Required for meiotic nuclear division protein 1 homolog,NCBITaxon:9606,GO_REF:0000043,required for meiotic nuclear division 1 homolog,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
IMPACT,Protein IMPACT,NCBITaxon:9606,GO_REF:0000024,"impact, RWD domain protein",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
GEMIN5,Gem-associated protein 5,NCBITaxon:9606,GO_REF:0000043,gem nuclear organelle associated protein 5,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF3E,Eukaryotic translation initiation factor 3 subunit E,NCBITaxon:9606,GO_REF:0000104,"eukaryotic translation initiation factor 3, subunit E",NCBITaxon:10090,MGI:MGI:3843422|PMID:17581632,GO0006412
RPS17,40S ribosomal protein S17,NCBITaxon:9606,PMID:8706699,ribosomal protein S17,NCBITaxon:10090,MGI:MGI:1289103|PMID:7748157,GO0006412
EIF2AK4,eIF-2-alpha kinase GCN2,NCBITaxon:9606,GO_REF:0000024,eukaryotic translation initiation factor 2 alpha kinase 4,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",NCBITaxon:9606,PMID:21613532,"KH domain containing, RNA binding, signal transduction associated 1",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
RPS6KB1,Ribosomal protein S6 kinase beta-1,NCBITaxon:9606,PMID:18423201,"ribosomal protein S6 kinase, polypeptide 1",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,NCBITaxon:9606,PMID:22578813,eukaryotic translation initiation factor 4E binding protein 1,NCBITaxon:10090,MGI:MGI:5558956|PMID:24553947,GO0006412
MRPL47,"39S ribosomal protein L47, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein L47,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
EIF4E3,Eukaryotic translation initiation factor 4E type 3,NCBITaxon:9606,GO_REF:0000043,eukaryotic translation initiation factor 4E member 3,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
PLEKHN1,Pleckstrin homology domain-containing family N member 1,NCBITaxon:9606,PMID:29180010,"pleckstrin homology domain containing, family N member 1",NCBITaxon:10090,MGI:MGI:6105829|PMID:27616329,GO0006412
EIF2A,Eukaryotic translation initiation factor 2A,NCBITaxon:9606,PMID:12133843,eukaryotic translation initiation factor 2A,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
TSFM,"Elongation factor Ts, mitochondrial",NCBITaxon:9606,PMID:27677415,"Ts translation elongation factor, mitochondrial",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
RPS3,40S ribosomal protein S3,NCBITaxon:9606,PMID:1712897,ribosomal protein S3,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
CPEB2,Cytoplasmic polyadenylation element-binding protein 2,NCBITaxon:9606,GO_REF:0000108,cytoplasmic polyadenylation element binding protein 2,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
RPS9,40S ribosomal protein S9,NCBITaxon:9606,PMID:15883184,ribosomal protein S9,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
SRBD1,S1 RNA-binding domain-containing protein 1,NCBITaxon:9606,PMID:21873635,S1 RNA binding domain 1,NCBITaxon:10090,PMID:21873635,GO0006412
RPL17,60S ribosomal protein L17,NCBITaxon:9606,PMID:12962325,ribosomal protein L17,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
EIF4A2,Eukaryotic initiation factor 4A-II,NCBITaxon:9606,Reactome:R-HSA-72613,eukaryotic translation initiation factor 4A2,NCBITaxon:10090,PMID:21873635,GO0006412
EIF2B1,Translation initiation factor eIF-2B subunit alpha,NCBITaxon:9606,PMID:16289705,"eukaryotic translation initiation factor 2B, subunit 1 (alpha)",NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0006412
RPL13A,60S ribosomal protein L13a,NCBITaxon:9606,PMID:12962325,ribosomal protein L13A,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
MRPL51,"39S ribosomal protein L51, mitochondrial",NCBITaxon:9606,GO_REF:0000024,mitochondrial ribosomal protein L51,NCBITaxon:10090,MGI:MGI:2151818|PMID:11402041,GO0006412
EIF2B3,Translation initiation factor eIF-2B subunit gamma,NCBITaxon:9606,PMID:10900014,"eukaryotic translation initiation factor 2B, subunit 3",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
CNOT1,CCR4-NOT transcription complex subunit 1,NCBITaxon:9606,PMID:24736845,"CCR4-NOT transcription complex, subunit 1",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
TOB1,Protein Tob1,NCBITaxon:9606,PMID:23236473,transducer of ErbB-2.1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
MRPL14,"39S ribosomal protein L14, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein L14,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",NCBITaxon:9606,PMID:20186120,mitochondrial ribosomal protein L58,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
RPS20,40S ribosomal protein S20,NCBITaxon:9606,PMID:15883184,ribosomal protein S20,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
EIF3A,Eukaryotic translation initiation factor 3 subunit A,NCBITaxon:9606,PMID:17581632,"eukaryotic translation initiation factor 3, subunit A",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
RPL37,60S ribosomal protein L37,NCBITaxon:9606,PMID:12962325,ribosomal protein L37,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
PYM1,Partner of Y14 and mago,NCBITaxon:9606,PMID:18026120,"PYM homolog 1, exon junction complex associated factor",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
CARS2,"Probable cysteine--tRNA ligase, mitochondrial",NCBITaxon:9606,PMID:21873635,cysteinyl-tRNA synthetase 2 (mitochondrial)(putative),NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
PTAFR,Platelet-activating factor receptor,NCBITaxon:9606,GO_REF:0000107,platelet-activating factor receptor,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0006412
UQCC2,Ubiquinol-cytochrome-c reductase complex assembly factor 2,NCBITaxon:9606,PMID:24385928,ubiquinol-cytochrome c reductase complex assembly factor 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
EIF3B,Eukaryotic translation initiation factor 3 subunit B,NCBITaxon:9606,GO_REF:0000104,"eukaryotic translation initiation factor 3, subunit B",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
NCBP1,Nuclear cap-binding protein subunit 1,NCBITaxon:9606,PMID:11551508,nuclear cap binding protein subunit 1,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EEF1B2,Elongation factor 1-beta,NCBITaxon:9606,PMID:1886777,eukaryotic translation elongation factor 1 beta 2,NCBITaxon:10090,MGI:MGI:1926990|PMID:11100270,GO0006412
JMJD4,2-oxoglutarate and iron-dependent oxygenase JMJD4,NCBITaxon:9606,PMID:24486019,jumonji domain containing 4,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
LTN1,E3 ubiquitin-protein ligase listerin,NCBITaxon:9606,PMID:21873635,listerin E3 ubiquitin protein ligase 1,NCBITaxon:10090,PMID:21873635,GO0006412
NCK1,Cytoplasmic protein NCK1,NCBITaxon:9606,PMID:14676213,non-catalytic region of tyrosine kinase adaptor protein 1,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
ZFP36L1,mRNA decay activator protein ZFP36L1,NCBITaxon:9606,PMID:12198173,"zinc finger protein 36, C3H type-like 1",NCBITaxon:10090,MGI:MGI:3686540|PMID:17013884,GO0006412
OGFOD1,Prolyl 3-hydroxylase OGFOD1,NCBITaxon:9606,PMID:24550447,2-oxoglutarate and iron-dependent oxygenase domain containing 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
MIF4GD,MIF4G domain-containing protein,NCBITaxon:9606,GO_REF:0000108,MIF4G domain containing,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
CDK4,Cyclin-dependent kinase 4,NCBITaxon:9606,GO_REF:0000107,cyclin-dependent kinase 4,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0006412
MRPL24,"39S ribosomal protein L24, mitochondrial",NCBITaxon:9606,Reactome:R-HSA-5389840,mitochondrial ribosomal protein L24,NCBITaxon:10090,PMID:21873635,GO0006412
UPF3B,Regulator of nonsense transcripts 3B,NCBITaxon:9606,PMID:16601204,UPF3 regulator of nonsense transcripts homolog B (yeast),NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
VIM,Vimentin,NCBITaxon:9606,PMID:21746880,vimentin,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
GTPBP1,GTP-binding protein 1,NCBITaxon:9606,PMID:21873635,GTP binding protein 1,NCBITaxon:10090,PMID:21873635,GO0006412
EIF4B,Eukaryotic translation initiation factor 4B,NCBITaxon:9606,GO_REF:0000043,eukaryotic translation initiation factor 4B,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
MRPL10,"39S ribosomal protein L10, mitochondrial",NCBITaxon:9606,GO_REF:0000024,mitochondrial ribosomal protein L10,NCBITaxon:10090,PMID:21873635,GO0006412
RBM4,RNA-binding protein 4,NCBITaxon:9606,PMID:17284590,RNA binding motif protein 4,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
MRPL55,"39S ribosomal protein L55, mitochondrial",NCBITaxon:9606,GO_REF:0000024,mitochondrial ribosomal protein L55,NCBITaxon:10090,PMID:21873635,GO0006412
NIBAN1,Protein Niban 1,NCBITaxon:9606,GO_REF:0000024,niban apoptosis regulator 1,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
GUF1,"Translation factor GUF1, mitochondrial",NCBITaxon:9606,GO_REF:0000043,"GUF1 homolog, GTPase",NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
PIWIL4,Piwi-like protein 4,NCBITaxon:9606,GO_REF:0000043,piwi-like RNA-mediated gene silencing 4,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
UCN,Urocortin,NCBITaxon:9606,GO_REF:0000107,urocortin,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0006412
DHX29,ATP-dependent RNA helicase DHX29,NCBITaxon:9606,PMID:23047696,DEAH (Asp-Glu-Ala-His) box polypeptide 29,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
DRG2,Developmentally-regulated GTP-binding protein 2,NCBITaxon:9606,PMID:21873635,developmentally regulated GTP binding protein 2,NCBITaxon:10090,PMID:21873635,GO0006412
PUM2,Pumilio homolog 2,NCBITaxon:9606,GO_REF:0000043,pumilio RNA-binding family member 2,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
EIF5,Eukaryotic translation initiation factor 5,NCBITaxon:9606,PMID:22156057,eukaryotic translation initiation factor 5,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0006412
IGHMBP2,DNA-binding protein SMUBP-2,NCBITaxon:9606,PMID:19299493,immunoglobulin mu binding protein 2,NCBITaxon:10090,MGI:MGI:3845694|PMID:19299493,GO0006412
EIF4A3,Eukaryotic initiation factor 4A-III,NCBITaxon:9606,PMID:10523622,eukaryotic translation initiation factor 4A3,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0006412
EEF1A2,Elongation factor 1-alpha 2,NCBITaxon:9606,PMID:8812466,eukaryotic translation elongation factor 1 alpha 2,NCBITaxon:10090,MGI:MGI:1203323|PMID:9588196,GO0006412
TMED2,Transmembrane emp24 domain-containing protein 2,NCBITaxon:9606,GO_REF:0000107,transmembrane p24 trafficking protein 2,NCBITaxon:10090,MGI:MGI:5914333|PMID:28797121,GO0006412
CELF1,CUGBP Elav-like family member 1,NCBITaxon:9606,PMID:30508596,"CUGBP, Elav-like family member 1",NCBITaxon:10090,MGI:MGI:6405956|PMID:32245946,GO0006412
RPL35A,60S ribosomal protein L35a,NCBITaxon:9606,PMID:12962325,ribosomal protein L35A,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
HABP4,Intracellular hyaluronan-binding protein 4,NCBITaxon:9606,PMID:21771594,hyaluronic acid binding protein 4,NCBITaxon:10090,MGI:MGI:1354194|GO_REF:0000004,GO0006412
MRPS18B,"28S ribosomal protein S18b, mitochondrial",NCBITaxon:9606,PMID:11279123,mitochondrial ribosomal protein S18B,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0006412
SAMD4B,Protein Smaug homolog 2,NCBITaxon:9606,PMID:21873635,sterile alpha motif domain containing 4B,NCBITaxon:10090,PMID:21873635,GO0006412
GLE1,Nucleoporin GLE1,NCBITaxon:9606,PMID:21873635,GLE1 RNA export mediator (yeast),NCBITaxon:10090,PMID:21873635,GO0006412
